BSN;Name;PLZ;Adresse;Telefon;Fax;eMail;Internet
01G04;Kastanienbaum-Grundschule;10119;Gipsstr. 23 A;275816330;275816350;sekretariat@kastanienbaumgrundschule.de;http://www.kastanienbaumgrundschule.de
01G05;Grundschule Neues Tor;10115;Hannoversche Str. 20;24088330;24088340;schulleitung@01G05.schule.berlin.de;http://www.neues-tor.de
01G07;GutsMuths-Grundschule;10179;Singerstr. 8;2408386;24083888;sekretariat@gutsmuths.schule.berlin.de;http://www.gutsmuths-grundschule.de
01G08;Grundschule am Brandenburger Tor;10117;Wilhelmstr. 52;20629430;20629440;sekretariat@gsabt.schule.berlin.de;http://www.Grundschule-am-Brandenburger-Tor.de
01G10;City-Grundschule;10179;Sebastianstr. 57;28449060;28449070;Sekretariat@city.schule.berlin.de;http://www.city-grundschule.de
01G11;Kurt-Tucholsky-Grundschule;10559;Rathenower Str. 18;3974429310;3974429338;01g11@01g11.schule.berlin.de;http://www.kurt-tucholsky-grundschule.de
01G15;Anne-Frank-Grundschule;10557;Paulstr. 20 B;20629180;20629188;sekretariat@anne-frank-grundschule.de;http://anne-frank-grundschule.de
01G16;Moabiter Grundschule;10557;Paulstr. 28;30208630;30208640;kontakt@moabiter-grundschule.de;http://www.moabiter-grundschule.de
01G18;Carl-Bolle-Grundschule;10551;Waldenserstr. 20-21;397457810;397457811;info@carl-bolle-grundschule.de;http://www.carl-bolle-grundschule.de
01G19;Hansa-Grundschule;10555;Lessingstr. 5;39806430;39806434;sekretariat@hansa.online;http://www.hansa-grundschule-online.de
01G24;Gottfried-Röhl-Grundschule;13349;Ungarnstr. 75;45081110;45081120;01G24@01G24.schule.berlin.de; 
01G25;Rudolf-Wissell-Grundschule;13357;Ellerbeker Str. 7-8;49799940;497999420;Schulleitung@rudolf-wissell.schule.berlin.de;http://www.rudolf-wissell-grundschule.de
01G27;Gesundbrunnen-Grundschule;13357;Prinzenallee 8;493015660;493015666;sekretariat@gesundbrunnen-grundschule.de;http://www.gesundbrunnen-grundschule.de
01G28;Brüder-Grimm-Grundschule;13353;Tegeler Str. 18-19;4530840;45308415;sekretariat@bggs.schule.berlin.de;http://bggs-berlin.de
01G29;Wilhelm-Hauff-Grundschule;13359;Gotenburger Str. 8;48490810;48490820;01g29@01g29.schule.berlin.de;http://wilhelm-hauff-grundschule.de
01G31;Wedding-Grundschule;13347;Antonstr. 10;901844250;901847437;plorenz@wedding-schule.de;http://www.wedding-schule.de
01G32;Carl-Kraemer-Grundschule;13359;Zechliner Str. 4;4998993;49989955;carl-kraemer-grundschule@t-online.de;http://www.carl-kraemer-gs.de
01G35;Humboldthain-Grundschule;13355;Grenzstr. 7;46777330;46777340;sekretariat@humboldthain.schule.berlin.de;http://www.humboldthain-grundschule.de
01G36;Andersen-Grundschule;13359;Kattegatstr. 26;493015410;493015420;info@andersen-grundschule.de;http://www.andersen-grundschule.de
01G37;Heinrich-Seidel-Grundschule;13355;Ramlerstr. 9-10;4677669210;4677669219;info@hsgs.berlin;http://www.hsgs.berlin
01G38;Gustav-Falke-Grundschule;13355;Strelitzer Str. 42;467779960;467779974;info@gustav-falke-schule.de;http://www.gustav-falke-schule.de
01G39;Vineta-Grundschule;13355;Demminer Str. 27;467768660;467768670;info@vineta.schule.berlin.de;http://www.vineta-grundschule.de
01G40;Möwensee-Grundschule;13351;Afrikanische Str. 123-125;45979210;45979233;sekretariat@moewensee-schule.de;http://www.moewensee-schule.de
01G41;Erika-Mann-Grundschule;13347;Utrechter Str. 25-27;45085510;45085511;erika.mann.grundschule@googlemail.com;http://www.erika-mann-grundschule.com
01G42;Anna-Lindh-Schule (Grundschule);13351;Guineastr. 17-18;45307530;45307520;01G42@01G42.schule.berlin.de;http://www.anna-lindh-schule.de
01G43;Albert-Gutzmann-Schule (Grundschule);13357;Orthstr. 1;46905960;46905970;info@gutzmannschule.de;http://www.gutzmannschule.de
01G44;Allegro-Grundschule;10785;Lützowstr. 83-85;257572710;257572734;berlin@allegro-grundschule.de;http://www.allegro-grundschule.de
01G45;Leo-Lionni-Grundschule;13353;Müllerstr. 158;469799670;469799674;info@leo-lionni-grundschule.de;http://www.leo-lionni-grundschule.de
01G46;Grundschule am Koppenplatz;10115;Koppenplatz 12;8471210910;8471210920;sekretariat@koppenplatz.schule.berlin.de;http://www.schule-am-koppenplatz.de
01G47;Miriam-Makeba-Grundschule;10555;Zinzendorfstr. 15-16;39405210;39405220;01G47@01G47.schule.berlin.de;http://www.miriam-makeba-schule.de
01G48;48. Schule (Grundschule);13353;Chausseestr. 82;225027130; ;01G48@01G48.schule.berlin.de;http://www.48-schule-berlin.de
01K01;Willy-Brandt-Schule;13357;Grüntaler Str. 5;4039492120;4039492170;kontakt@willy-brandt-teamschule.de;http://www.willy-brandt-teamschule.de
01K02;Ernst-Schering-Schule;13353;Lütticher Str. 47-48;45308710;45308711;info@ernst-schering-schule.de;http://www.ernst-schering-schule.de
01K03;Ernst-Reuter-Schule;13355;Stralsunder Str. 57;467779910;467779916;info@ernst-reuter-oberschule.de;http://ernst-reuter-schule.berlin
01K04;Heinrich-von-Stephan-Gemeinschaftsschule;10553;Neues Ufer 6;39063130;39063140;sekretariat@hvs.schule.berlin.de;http://www.hvs-schule-berlin.de
01K06;Herbert-Hoover-Schule (Integrierte Sekundarschule);13357;Pankstr. 18-19;46906340;46906344;schulleitung@hhs-berlin.de;http://www.hhs-berlin.de
01K07;Hemingway-Schule;10115;Gartenstr. 10-17;200892210;200892220;sekretariat@hemingway-schule.de;http://www.hemingway-oberschule.de
01K08;Schule am Schillerpark (Integrierte Sekundarschule);13349;Ofener Str. 6;45799450;45799455;sekretariat@schule-am-schillerpark.de;http://www.Schule-am-Schillerpark.de
01K09;Hedwig-Dohm-Schule (Integrierte Sekundarschule);10559;Stephanstr. 27;38377131;38377130;hedwig-dohm-os@web.de;http://www.hedwig-dohm-os.de
01K10;Theodor-Heuss-Gemeinschaftsschule;10559;Quitzowstr. 141;39835210;39835232;sekretariat@thgberlin.de;http://www.thgberlin.de
01P01;Evangelische Schule Berlin Mitte (Gemeinschaftsschule);10178;Rochstr. 7;70725482;70725483;schule@esbm.de;http://www.esbm.de
01P03;Jüdisches Gymnasium Moses Mendelssohn;10115;Große Hamburger Str. 27;7262657110;7262657145;info@jgmm.de;http://www.jgmm.de
01P04;Freie Waldorfschule Berlin Mitte;10178;Weinmeisterstr. 16;80097580;800975814;verwaltung@waldorfschule-mitte.de;http://www.waldorfschule-mitte.de
01P05;Katholische Schule Sankt Paulus (Grundschule);10551;Waldenserstr. 27;3954196;3955032;schulleitung@st-paulus.schule;http://www.st-paulus.schule
01P06;Canisius-Kolleg;10785;Tiergartenstr. 30-31;26481100;26481164;schulleitung@canisius.de;http://www.canisius.de
01P07;Lazarus Schulen der Hoffnungstaler Stiftung Lobetal;13355;Bernauer Str. 115-118;46705204;46705212;S.H.Leich.lazarus-schulen@lobetal.de;http://www.lazarus-schulen.de
01P11;Plan B Altenpflegeschule;10179;Alte Jakobstr. 79-80;2478185770;2478185777;info@planb-bildung.de;http://www.planbgmbh.de
01P13;Freie Schule am Mauerpark (Grundschule);13355;Wolliner Str. 25/26;42022690;42022691;info@freieschuleberlin.de;http://www.freieschuleberlin.de
01P14;BEST-Sabel Berufsakademie;10179;Littenstr. 109;4284910;42849120;schule@best-sabel.de;http://www.best-sabel.de
01P16;Berlin Metropolitan School (Integrierte Sekundarschule);10115;Linienstr. 122;88727390;887273920;info@metropolitanschool.com;http://www.metropolitanschool.coml
01P18;Bilinguale Schule Phorms Berlin Mitte;13355;Ackerstr. 76;467986300;467986320;berlin-mitte@phorms.de;http://www.berlin-mitte.phorms.de
01P22;Berlin Cosmopolitan School;10119;Rückerstr. 9;688332324;688332323;mail@cosmopolitanschool.de;http://www.cosmopolitanschool.de
01P23;Evangelische Schule Berlin Zentrum (Gemeinschaftsschule);10179;Wallstr. 32;25760710;257607129;info@ev-schule-zentrum.de;http://www.ev-schule-zentrum.de
01P24;IB-GIS mbH - Medizinische Akademie Berlin;13347;Gerichtstr. 27;25292090;252920929;berlin@ib-med-akademie.de;http://www.med-akademie.de
01P25;Internationale Lomonossow-Schule Berlin (Gemeinschaftsschule);10785;Genthiner Str. 20;74785751;74785547;tiergarten@lomonossow-schulen.de;http://www.lomonossow-grundschule.de
01P36;BTB Schulzentrum gGmbH;10178;Alexanderstr. 5;2888589925;2888589990;info@btb-schulzentrum.de;http://www.btb-schulzentrum.de
01P38;G.A.L.B Förderung gGmbH;10555;Zwinglistr. 37;40059890;400598922;kontakt@galb-berlin.de;http://www.galb-berlin.de
01P39;GPB College gGmbH;10117;Beuthstr. 8;3904810;39048140;info@gpb-college.de;http://www.GPB-College.de
01P40;Berufsfachschule Paulo Freire im Zentrum ÜBERLEBEN;10559;Turmstr. 21;30390653;30614371;info@pflege-lernen.org;http://www.pflege-lernen.org
01P42;WWV Bildungsakademie gGmbH;10178;Alexanderstr. 1;5146930;51700472;wwv@wwv-online.de;http://www.abizubi.de
01P46;DDA Destiny Diversity Academy GmbH;13355;Brunnenstr. 110 D;76236766;76236767;info@ddacademy.de;http://www.ddacademy.de
01P47;Ecole Voltaire (Grundschule);10785;Kurfürstenstr. 53;4110015;4110014;verein@ecolevoltaire.de;http://www.ecolevoltaire.de
01P48;meco Akademie GmbH;13347;Seestr. 64;81005820;81005824;info@meco-akademie.de;http://www.meco-akademie.de
01P49;Quinoa-Schule Freie Sekundarschule Berlin Wedding;13409;Kühnemannstr. 26;983224100;983224109;info@quinoa-bildung.de;http://www.quinoa-bildung.de
01P50;Kristall Grundschule - Inklusive Grundschule in freier Trägerschaft;13353;Tegeler Str. 13;30873841;30873850;kristall-gs@tjfbg.de;http://www.tjfbg.de
01P51;mediencollege Berlin gGmbH;10115;Invalidenstr. 17;28873093;28873094;office@mediencollege-berlin.de;http://www.mediencollege.berlin
01P52;Schulen der ASIG Stiftung e.V.;10553;Kaiserin-Augusta-Allee 14;4690540;46905420;info@asig-berlin.de;http://www.asig-berlin.de
01P53;Eventus - Fachschule für Sozialpädagogik;13409;Markstr. 36/37;23535239;98374697;sekretariat@eventusfachschule.de;http://eventusfachschule.de
01P54;GFBI gGmbH - Gesellschaft für Berufsbildung und Integration;10551;Turmstr. 44;91692880;91692882;info@gfbi-ggmbh.de; 
01P55;FRÖBEL Akademie gGmbH - Fachschule für Sozialpädagogik;10178;Alexanderstr. 9;21235280;21235120;info@froebel-akademie.de;http://www.froebel-gruppe.de/akademie
01S01;Schule am Zille-Park;13347;Ravenéstr. 10-12;460617401;460617404;info@schule-am-zille-park.de;http://www.schule-am-zille-park.de
01S05;Schule in der Charité;13353;Augustenburger Platz 1;130238053;130238055;sekretariat@sidc.schule.berlin.de;klinikschulecharite.wordpress.com
01S06;Albert-Gutzmann-Schule;13357;Orthstr. 1;46905960;46905970;info@gutzmannschule.de;http://www.gutzmannschule.de
01S07;Charlotte-Pfeffer-Schule;10178;Berolinastr. 8;2465740;24657428;charlotte-pfeffer-schule@gmx.de;http://www.charlotte-pfeffer.schule-berlin.net
01Y02;John-Lennon-Gymnasium;10119;Zehdenicker Str. 17;40500110;40500120;sekretariat@jlgym-berlin.de;http://www.jlgym-berlin.de
01Y04;Musikgymnasium Carl Philipp Emanuel Bach;10115;Rheinsberger Str. 4-5;40505830;40505850;bach.musikgymnasium@berlin.de;http://musikgymnasium-berlin.de
01Y07;Französisches Gymnasium;10785;Derfflingerstr. 7;25758910;25758919;mdormann-farnir@fg-berlin.eu;http://www.fg-berlin.eu
01Y08;Lessing-Gymnasium;13349;Schöningstr. 17;45798510;45798516;post@lessing-gymnasium-berlin.de;http://www.lessing-gymnasium-berlin.eu
01Y09;Diesterweg-Gymnasium;13357;Böttgerstr. 2-6;46309620;46309630;sekretariat@diesterweg-gymnasium-berlin.de;http://www.diesterweg-gymnasium-berlin.de
01Y11;Max-Planck-Gymnasium;10179;Singerstr. 8 A;847118830;847118840;sekretariat@mpg-berlin.de;http://www.mpg-berlin.de
01Y12;Gymnasium Tiergarten;10555;Altonaer Str. 26;398009710;398009722;sekretariat@gymnasium-tiergarten.de;http://gymnasium-tiergarten.de
02B01;August-Sander-Schule;10245;Naglerstr. 1-3;29362760;293627620;schulbuero@august-sander-schule.de;http://www.august-sander-schule.de
02B02;Hans-Böckler-Schule (OSZ Konstruktionsbautechnik);10969;Lobeckstr. 76;61670510;61670599;info@osz-kt.de;http://www.osz-kt.de
02B03;Modeschule Berlin (OSZ Bekleidung und Mode);10969;Kochstr. 9;25391511;25391515;info@osz-bekleidung-mode.de;http://www.osz-bekleidung-mode.de
02B04;OSZ Handel 1;10997;Wrangelstr. 98;6112960;61129615;sekretariat-schulleitung@oszhandel1.de;http://www.oszhandel.de
02B05;Jane-Addams-Schule (OSZ Sozialwesen);10249;Straßmannstr. 14-16;4202760;420276321;kontakt@osz-soz.de;http://www.osz-soz.de
02E01;Handels- & Finanzakademie GmbH;10245;Neue Bahnhofstr. 16-17;2921473;2920285;Info@hfa.de;http://www.hfa.de
02E03;Friedländer-Schule;10245;Boxhagener Str. 106;29669413;4484517;info@friedlaender.de;http://www.friedlaender.de
02E04;Berliner Schule für Schauspiel;10245;Boxhagener Str. 18;4279600;25933759;post@schauspielschule-berlin.de;http://www.schauspielschule-berlin.de
02E05;Schule für Erwachsenenbildung e.V.;10961;Gneisenaustr. 2A;6937048;6937049;koa@sfeberlin.de;http://www.sfeberlin.de
02E07;HTK - Akademie für Gestaltung;10963;Dessauer Straße 3-5;338539600;338539502;berlin@htk-ak.de;http://www.htk-ak.de
02E10;DIE ETAGE - Schule für die darstellenden und bildenden Künste e.V.;10969;Ritterstr. 12-14;6912095; ;buero@dieetage.de;http://www.dieetage.de
02E11;REDUTA Berlin-Schauspielschule;10961;Gneisenaustr. 41;6935549;69533690;reduta@reduta-berlin.de;http://www.reduta-berlin.de
02E12;Konservatorium für türkische Musik in Berlin;10961;Bergmannstr. 29;69504601;69504603;info@Konservatorium-berlin.de;http://www.btmk.de
02E14;Computer-Bildungszentrum;10997;Pfuelstr. 3;6124434;61076487;post@calp.de;http://www.calp.de
02E15;TREND-Schule;10999;Mariannenstr. 9-10;6146000;6146050;wedding@trend-schule.de;http://www.trend-schule.de
02E17;BWK Bildungswerk in Kreuzberg;10997;Cuvrystr. 34;6179290;61792937;info@bwk-berlin.de;http://www.bwk-berlin.de
02E18;Schule für F.M. Alexander-Technik;10961;Mehringdamm 33;69506088; ;dan.armon@alexandertechnik-armon.de;http://www.alexandertechnik-armon.de
02E20;Mediadesign Hochschule für Design und Informatik GmbH;10969;Lindenstr. 20-25;39926660;39926615;g.seidl@mediadesign-fh.de;http://www.mediadesign.de
02E21;EUROPA-Sprachenschule;10997;Wrangelstr. 31;6188863; ;bow@snafu.de;http://www.bowberlin.4mal.de/pages/de-index.html
02E23;Michael-Tschechow-Studio Berlin;10997;Eisenbahnstr. 21;61108940;61108919;office@mtsb.de;http://www.mtsb.de
02E24;Alexander-Technik-Schule;10999;Paul-Lincke-Ufer 30;6142418; ;mail@alexander-technik-schule.de;http://www.alexander-technik-schule.de
02E26;DEKRA Medienakademie;10245;Ehrenbergstr. 11-14;290080200;290080201;info-medienakademie@dekra.com;http://www.dekra-akademie.de/de/dekra-medien-akademie
02E27;Sprachenatelier Berlin;10247;Frankfurter Allee 40;27589855;27589854;mail@sprachenatelier-berlin.de;http://www.sprachenatelier-berlin.de
02E28;Die Managementschule Berlin;10243;Warschauer Str. 36-38;27574893;27574894;it-info@bbzev.de;http://www.bbzev.de
02E29;SPRACHwerk;10961;Solmsstr. 30;44731949; ;info@sprachwerk-berlin.de; 
02E30;FORUM Berufsbildung e.V.;10969;Charlottenstr. 2;2590080;25900810;info@forum-berufsbildung.de;http://www.forum-berufsbildung.de
02E33;gebaerdenservive.de;10963;Stresemannstr. 46;67926821;67926822;costrau@gebaerdenservice.de;http://gebaerdenservice.de
02E34;Sabine Roth-Ballettschule;10961;Bergmannstr. 5;7069250;7891965;justin.roth@t-online.de; 
02E35;S4G School for Games GmbH;10245;Grünberger Str. 54;96595244;94058107;info@school4games.net;http://www.school4games.net
02E36;AID Berlin Akademie für Illustration und Design Berlin GmbH;10969;Ritterstr. 12-14;91206655; ;info@aidberlin.de;http://www.aidberlin.de
02E37;noisy Academy;10243;Warschauer Str. 70 A;25933030;25933031;mail@noisy-academy.com;http://www.noisy-academy.com
02E38;Ulrich Ernitz & Filomena Tinaburri GbR;10967;Urbanstr. 116;6158173;61656834;info@apt-absurdacomica.de; 
02E39;f/16 Schule für Fotografie;10969;Friedrichstr. 217;34399245; ;info@f16-schule.de;http://www.f16-schule.de
02E40;Schauspielschule "Der Kreis" (Fritz-Kirchhoff-Schule);10999;Glogauer Str. 6;8225124; ;post@fritz-kirchhoff-schule.de;http://www.fritz-kirchhoff-schule.de
02E41;PRO-STAGE Berlin GmbH;10967;Urbanstr. 71;61209261;61209785;info@prostage.berlin;http://www.pro-stageberlin.de
02G01;Spartacus-Grundschule;10249;Friedenstr. 40-45;42024930;42024937;schulleitung@grundschule-friedrichshain.de;http://www.grundschule-friedrichshain.de
02G02;Hausburg-Grundschule;10249;Hausburgstr. 20;93956760;939567615;sek@hausburg-gs.schule-berlin-fk.de;http://www.hausburgschule.de
02G03;Justus-von-Liebig-Grundschule;10247;Liebigstr. 18A;447283211;447283215;02g03@02g03.schule.berlin.de;http://www.jvl-gs.de
02G04;Pettenkofer-Grundschule;10247;Pettenkoferstr. 20-24;3229811911;3229811915;Sekretariat@pettenkofer.schule.berlin.de;http://www.pettenkofer-grundschule.de
02G07;Ludwig-Hoffmann-Grundschule;10243;Lasdehner Str. 21-23;293474211;293474215;schulleitung@l-hoffmann.schule.berlin.de;http://www.ludwig-hoffmann-grundschule.de
02G08;Grundschule am Traveplatz;10247;Jessnerstr. 24-32;48488000;484880030;sek@gs-am-traveplatz.schule-berlin-fk.de;http://www.grundschule-am-traveplatz.de
02G09;Zille-Grundschule;10245;Boxhagener Str. 46;484880423;484880449;schulleitung@zille-grundschule.de;http://www.Zille-Grundschule.de
02G10;Modersohn-Grundschule;10245;Niemannstr. 3;48488340;4848834127;Schulleitung@modersohn.schule.berlin.de;http://www.modersohn-schule.de
02G11;Thalia-Grundschule;10245;Alt-Stralau 34;29347830;293478315;Schulleitung@thalia-gs.schule.berlin.de;http://www.thalia-grundschule.de
02G12;Kurt-Schumacher-Grundschule;10969;Puttkamerstr. 19;50585931;50585915;02g12@02g12.schule.berlin.de;http://www.kurt-schumacher-grundschule.de
02G13;Charlotte-Salomon-Grundschule;10965;Großbeerenstr. 40;50587511;50587515;Sekretariat@02G13.schule.berlin.de;http://www.charlotte-salomon-grundschule.de
02G14;Galilei-Grundschule;10969;Friedrichstr. 13;50585811;50585815;sekretariat@galilei-grundschule.de;http://www.galilei-grundschule.de
02G16;Lenau-Grundschule;10961;Nostitzstr. 60;81858811;81858815;info@lenau.net;http://lenau.net
02G18;Nürtingen-Grundschule;10997;Mariannenplatz 28;61784231;61784235;sek@nuertingen.schule.berlin.de;http://www.nuertingen-grundschule.de
02G19;Fanny-Hensel-Grundschule;10963;Schöneberger Str. 24;50586811;50586815;info@fanny-hensel-grundschule.de;http://www.Fanny-Hensel-Grundschule.de
02G20;Bürgermeister-Herz-Grundschule;10961;Wilmsstr. 10;3198702211;3198702215;sekretariat@bmh.schule.berlin.de;http://www.bmh-schule.de
02G21;Reinhardswald-Grundschule;10961;Gneisenaustr. 73-74;69037211;69037215;sekretariat@reinhardswald.schule.berlin.de;http://www.reinhardswald-grundschule.de
02G22;Jens-Nydahl-Grundschule;10999;Kohlfurter Str. 20;50586111;50586115;sekretariat@jng.schule.berlin.de; 
02G23;Fichtelgebirge-Grundschule;10997;Görlitzer Ufer 2;22502811;22502815;schulleitung@fichtelgebirge.schule.berlin.de;http://fichtelgebirge-grundschule-berlin.de
02G24;Otto-Wels-Grundschule;10969;Alexandrinenstr. 12;50585311;50585315;sekretariat@otto-wels.schule.berlin.de;http://www.owg-berlin.de
02G26;Lemgo-Grundschule;10967;Böckhstr. 5;50585711;50585715;Sekretariat@lemgo.schule.de;http://www.lemgo-grundschule.de
02G27;Hunsrück-Grundschule;10999;Manteuffelstr. 79;22503111;22503115;schulleitung@hunsrueck-grundschule.de;http://www.Hunsrueck-Grundschule.de
02G29;Heinrich-Zille-Grundschule;10997;Waldemarstr. 118;22503611;22503615;Heinrich-Zille-GS@web.de;http://www.Heinrich-Zille-Grundschule.de
02G31;Adolf-Glaßbrenner-Grundschule;10965;Hagelberger Str. 34;50587531;50587535;Adolf-Glassbrenner-Schule@web.de;http://www.adolf-glassbrenner-schule.de
02G32;Clara-Grunwald-Grundschule;10963;Hallesche Str. 24;81888311;81888315;clara-grunwald-gs@gmx.de;http://www.clara-grunwald.cidsnet.de
02G33;Aziz-Nesin-Grundschule;10961;Urbanstr. 15;2700409431;2700409435;Sekretariat@aziz-nesin.schule.berlin.de;http://www.aziz-nesin-schule.de
02G34;Jane-Goodall-Grundschule;10247;Scharnweberstr. 19;2464789211;2464789215;sekretariat@jane-goodall.schule.berlin.de;http://www.jane-goodall-grundschule.de
02G35;Rosa-Parks-Grundschule;10999;Reichenberger Str. 65;22502511;22502515;mail@rosa-parks-grundschule.de;http://www.rosa-parks-grundschule.de
02G36;Blumen-Grundschule;10243;Andreasstr. 50;3198702911;3198702915;buero@36-grundschule.de;http://www.36-grundschule.de
02K01;Ellen-Key-Schule;10243;Rüdersdorfer Str. 20-28;29773060;2977306215;sek@e.key-os.schule-berlin-fk.de;http://www.eko-online.net
02K02;Carl-von-Ossietzky-Schule (Gemeinschaftsschule);10961;Blücherstr. 46 -47;2250277111;2250277115;sekretariat@cvo-berlin.de;http://www.cvo-berlin.de
02K03;Hector-Peterson-Schule;10963;Tempelhofer Ufer 15;50587711;50587715;sekretariat@hps-berlin.schule;http://www.hps-berlin.schule
02K04;Lina-Morgenstern-Schule (Gemeinschaftsschule);10961;Gneisenaustr. 7;81858711;81858715;schulleitung@lmg.schule.berlin.de;http://lina-morgenstern-gemeinschaftsschule.de
02K05;Schule am Königstor (Integrierte Sekundarschule);10249;Weinstr. 3;447283411;447283415;sek@koenigstor-os.schule-berlin-fk.de;www.schule-am-koenigstor.de
02K06;Emanuel-Lasker-Schule;10245;Modersohnstr. 53;2910807;29669216;sekretariat@els.schule;http://www.els.schule
02K07;Georg-Weerth-Schule;10249;Eckertstr. 16a;246567211;246567215;info@georg-weerth-schule.de;http://www.georg-weerth-schule.de
02K08;Refik-Veseli-Schule (Integrierte Sekundarschule);10997;Skalitzer Str. 55;22503511;22503515;sekretariat@refik-veseli-schule.eu;http://www.schule-skalitzer.de
02K09;Albrecht-von-Graefe-Schule (Integrierte Sekundarschule);10967;Graefestr. 85;50586011;50586015;sekretariat@graefemail.de;http://www.albrecht-von-graefe-schule.de
02K10;Ferdinand-Freiligrath-Schule (Integrierte Sekundarschule);10961;Bergmannstr. 64;50585611;50585615;sekretariat@ferdinand-freiligrath-schule.de;http://www.ferdinand-freiligrath-schule.de
02P03;Islamische Grundschule;10967;Boppstr. 4;69507860;69507861;igs.berlin@t-online.de;http://www.islamische-grundschule.de
02P04;Freie Waldorfschule Kreuzberg;10969;Ritterstr. 78;61510100;615101019;info@fwsk.net;http://www.waldorfschule-kreuzberg.de
02P05;Fachschulen der Stiftung SPI Berlin;10963;Hallesches Ufer 32-38;25937390;259373950;fachschulen@stiftung-spi.de;http://www.spi-fachschulen.de
02P07;Campus Berufsbildung e.V.;10969;Friedrichstr. 231;25931877;25931879;tbfs@campus-bb.de;http://www.campus-bb.de
02P09;Freie Schule Kreuzberg (Grundschule);10997;Wrangelstr. 128;74073334;74073335;kontakt@freieschulekreuzberg.de;http://freieschulekreuzberg.de
02P10;Vitanas Akademie gGmbH;10243;Warschauer Str. 39-40;5498860;54988610;akademie@vitanas.de;http://www.vitanas.de
02P11;Berlin Bilingual School (Grundschule);10249;Weinstr. 1;24628089;27582913;info@berlin-bilingual.de;http://berlin-bilingual-school.de
